date,sku,qty,price,revenue
2024-01-01,SKU_001,45,24,1080
2024-01-02,SKU_001,49,24,1176
2024-01-03,SKU_001,41,24,984
2024-01-04,SKU_001,41,24,984
2024-01-05,SKU_001,49,24,1176
2024-01-06,SKU_001,46,24,1104
2024-01-07,SKU_001,40,24,960
2024-01-08,SKU_001,45,24,1080
2024-01-09,SKU_001,41,24,984
2024-01-10,SKU_001,40,24,960
2024-01-11,SKU_001,44,24,1056
2024-01-12,SKU_001,34,24,816
2024-01-13,SKU_001,35,24,840
2024-01-14,SKU_001,40,24,960
2024-01-15,SKU_001,38,24,912
2024-01-16,SKU_001,44,24,1056
2024-01-17,SKU_001,39,24,936
2024-01-18,SKU_001,36,24,864
2024-01-19,SKU_001,49,24,1176
2024-01-20,SKU_001,42,24,1008
2024-01-21,SKU_001,43,24,1032
2024-01-22,SKU_001,36,24,864
2024-01-23,SKU_001,40,24,960
2024-01-24,SKU_001,43,24,1032
2024-01-25,SKU_001,38,24,912
2024-01-26,SKU_001,44,24,1056
2024-01-27,SKU_001,40,24,960
2024-01-28,SKU_001,41,24,984
2024-01-29,SKU_001,40,24,960
2024-01-30,SKU_001,50,24,1200
2024-01-31,SKU_001,42,24,1008
2024-02-01,SKU_001,38,24,912
2024-02-02,SKU_001,46,24,1104
2024-02-03,SKU_001,37,24,888
2024-02-04,SKU_001,43,24,1032
2024-02-05,SKU_001,34,24,816
2024-02-06,SKU_001,37,24,888
2024-02-07,SKU_001,43,24,1032
2024-02-08,SKU_001,46,24,1104
2024-02-09,SKU_001,43,24,1032
2024-02-10,SKU_001,42,24,1008
2024-02-11,SKU_001,41,24,984
2024-02-12,SKU_001,36,24,864
2024-02-13,SKU_001,39,24,936
2024-02-14,SKU_001,41,24,984
2024-02-15,SKU_001,47,24,1128
2024-02-16,SKU_001,44,24,1056
2024-02-17,SKU_001,35,24,840
2024-02-18,SKU_001,44,24,1056
2024-02-19,SKU_001,41,24,984
2024-02-20,SKU_001,40,24,960
2024-02-21,SKU_001,45,24,1080
2024-02-22,SKU_001,47,24,1128
2024-02-23,SKU_001,47,24,1128
2024-02-24,SKU_001,39,24,936
2024-02-25,SKU_001,41,24,984
2024-02-26,SKU_001,44,24,1056
2024-02-27,SKU_001,47,24,1128
2024-02-28,SKU_001,40,24,960
2024-02-29,SKU_001,42,24,1008
2024-03-01,SKU_001,38,24,912
2024-03-02,SKU_001,37,24,888
2024-03-03,SKU_001,46,24,1104
2024-03-04,SKU_001,48,24,1152
2024-03-05,SKU_001,42,24,1008
2024-03-06,SKU_001,47,24,1128
2024-03-07,SKU_001,44,24,1056
2024-03-08,SKU_001,40,24,960
2024-03-09,SKU_001,44,24,1056
2024-03-10,SKU_001,49,24,1176
2024-03-11,SKU_001,42,24,1008
2024-03-12,SKU_001,49,24,1176
2024-03-13,SKU_001,31,24,744
2024-03-14,SKU_001,46,24,1104
2024-03-15,SKU_001,43,24,1032
2024-03-16,SKU_001,41,24,984
2024-03-17,SKU_001,43,24,1032
2024-03-18,SKU_001,34,24,816
2024-03-19,SKU_001,42,24,1008
2024-03-20,SKU_001,44,24,1056
2024-03-21,SKU_001,49,24,1176
2024-03-22,SKU_001,40,24,960
2024-03-23,SKU_001,39,24,936
2024-03-24,SKU_001,40,24,960
2024-03-25,SKU_001,46,24,1104
2024-03-26,SKU_001,44,24,1056
2024-03-27,SKU_001,40,24,960
2024-03-28,SKU_001,45,24,1080
2024-03-29,SKU_001,43,24,1032
2024-03-30,SKU_001,47,24,1128
2024-03-31,SKU_001,39,24,936
2024-04-01,SKU_001,41,24,984
2024-04-02,SKU_001,41,24,984
2024-04-03,SKU_001,36,24,864
2024-04-04,SKU_001,44,24,1056
2024-04-05,SKU_001,44,24,1056
2024-04-06,SKU_001,43,24,1032
2024-04-07,SKU_001,41,24,984
2024-04-08,SKU_001,36,24,864
2024-04-09,SKU_001,41,24,984
2024-04-10,SKU_001,41,24,984
2024-04-11,SKU_001,39,24,936
2024-04-12,SKU_001,42,24,1008
2024-04-13,SKU_001,44,24,1056
2024-04-14,SKU_001,51,24,1224
2024-04-15,SKU_001,43,24,1032
2024-04-16,SKU_001,44,24,1056
2024-04-17,SKU_001,42,24,1008
2024-04-18,SKU_001,34,24,816
2024-04-19,SKU_001,42,24,1008
2024-04-20,SKU_001,43,24,1032
2024-04-21,SKU_001,53,24,1272
2024-04-22,SKU_001,42,24,1008
2024-04-23,SKU_001,44,24,1056
2024-04-24,SKU_001,42,24,1008
2024-04-25,SKU_001,37,24,888
2024-04-26,SKU_001,47,24,1128
2024-04-27,SKU_001,46,24,1104
2024-04-28,SKU_001,46,24,1104
2024-04-29,SKU_001,39,24,936
2024-04-30,SKU_001,49,24,1176
2024-05-01,SKU_001,36,24,864
2024-05-02,SKU_001,45,24,1080
2024-05-03,SKU_001,52,24,1248
2024-05-04,SKU_001,38,24,912
2024-05-05,SKU_001,40,24,960
2024-05-06,SKU_001,43,24,1032
2024-05-07,SKU_001,40,24,960
2024-05-08,SKU_001,36,24,864
2024-05-09,SKU_001,43,24,1032
2024-05-10,SKU_001,38,24,912
2024-05-11,SKU_001,45,24,1080
2024-05-12,SKU_001,39,24,936
2024-05-13,SKU_001,49,24,1176
2024-05-14,SKU_001,39,24,936
2024-05-15,SKU_001,41,24,984
2024-05-16,SKU_001,46,24,1104
2024-05-17,SKU_001,37,24,888
2024-05-18,SKU_001,43,24,1032
2024-05-19,SKU_001,48,24,1152
2024-05-20,SKU_001,36,24,864
2024-05-21,SKU_001,43,24,1032
2024-05-22,SKU_001,44,24,1056
2024-05-23,SKU_001,46,24,1104
2024-05-24,SKU_001,37,24,888
2024-05-25,SKU_001,37,24,888
2024-05-26,SKU_001,45,24,1080
2024-05-27,SKU_001,44,24,1056
2024-05-28,SKU_001,44,24,1056
2024-05-29,SKU_001,44,24,1056
2024-05-30,SKU_001,40,24,960
2024-05-31,SKU_001,43,24,1032
2024-06-01,SKU_001,44,24,1056
2024-06-02,SKU_001,39,24,936
2024-06-03,SKU_001,51,24,1224
2024-06-04,SKU_001,45,24,1080
2024-06-05,SKU_001,37,24,888
2024-06-06,SKU_001,45,24,1080
2024-06-07,SKU_001,38,24,912
2024-06-08,SKU_001,46,24,1104
